Source,Target,Sentiment
4,14,0.49183673469387745
53,15,0.49166666666666664
18,11,0.48571428571428565
17,5,0.46826923076923077
1,15,0.46666666666666656
26,15,0.46631578947368435
53,29,0.46499999999999997
9,18,0.45
26,16,0.444
2,36,0.43973884422646947
31,81,0.43931563180203914
16,29,0.43913043478260866
59,57,0.43348684210526317
23,30,0.4323123486819139
5,42,0.43225806451612897
4,42,0.43
49,31,0.4267521008403362
53,4,0.42500000000000004
27,69,0.42352941176470593
7,5,0.4227272727272727
35,38,0.42136976529217907
40,23,0.4188280766852195
8,49,0.40913275906292756
5,14,0.4080808080808081
11,29,0.4074074074074074
48,8,0.4047494623655914
70,23,0.4025665522941294
14,42,0.3999999999999999
26,27,0.39999999999999986
52,74,0.3973268398268398
73,71,0.39547411616161615
15,42,0.3947368421052632
41,36,0.3925925925925927
35,84,0.3923099620979568
0,22,0.39132234011467815
12,71,0.39028855597807205
24,28,0.38970749665327975
89,93,0.38914094650205755
57,44,0.3885224727379899
35,51,0.38415215664711644
40,33,0.38284676993487066
82,46,0.376947619047619
12,68,0.37415236104891275
28,25,0.37128759398496247
8,70,0.36768708220415536
77,101,0.3670723720723721
96,108,0.36181189445475154
110,47,0.35982590051457974
25,22,0.3596641975308642
8,30,0.35859105998168495
61,35,0.3550710753866765
6,57,0.3550078369905957
12,77,0.3548813010052506
31,84,0.35477849462365596
8,81,0.3546398513385453
36,95,0.35231851851851853
45,15,0.3512145748987855
9,16,0.3476190476190475
80,30,0.34283488372093024
45,29,0.3423076923076923
76,22,0.3396904761904762
52,83,0.33956701157920677
8,40,0.33936502546689307
12,82,0.3384213959556426
37,43,0.3258372734436565
91,4,0.32500000000000007
106,76,0.32407407407407407
52,82,0.32355449782775364
0,62,0.321580919080919
8,72,0.32046794105933896
23,38,0.3166976744186046
0,63,0.31666666666666654
38,43,0.3143164627363738
22,58,0.31287170930663705
60,10,0.30895555555555554
18,5,0.3
8,51,0.299505444646098
56,39,0.29940104166666665
28,62,0.29791666666666666
61,30,0.29315018315018315
35,40,0.28613170163170165
41,22,0.2860111111111111
44,22,0.28573593073593073
27,4,0.2833333333333333
26,17,0.28103448275862064
7,16,0.28099999999999997
102,113,0.28015966386554625
2,41,0.27948275862068966
99,80,0.27786321764971794
28,102,0.27398148148148155
33,47,0.273
49,81,0.27212500000000006
34,71,0.26888888888888896
62,22,0.26666666666666666
40,87,0.26394642857142864
11,32,0.256
86,77,0.2522108843537415
26,3,0.2521739130434783
10,63,0.2498550724637681
55,6,0.24756944444444443
56,63,0.24406249999999993
34,74,0.24379223988051485
6,75,0.24187499999999998
85,89,0.23989621489621485
49,84,0.23924999999999996
80,33,0.23883333333333334
86,68,0.23814009661835744
37,30,0.23763636363636365
75,113,0.23759722222222224
86,74,0.23724867724867724
18,27,0.23500000000000001
39,62,0.23297619047619042
24,63,0.22974358974358972
51,23,0.22940350877192983
25,57,0.22755208333333338
103,88,0.2226190476190476
25,36,0.22055555555555556
46,79,0.2203916466808452
52,85,0.2177822177822178
79,66,0.21769475077125944
102,107,0.21721544715447155
102,10,0.21718750000000003
8,38,0.21531250000000002
72,40,0.2132272727272727
0,56,0.21222222222222217
48,37,0.2073809523809524
9,27,0.20434782608695648
31,35,0.2041853885135135
30,43,0.20396680891417734
25,10,0.20286458333333332
48,67,0.20262222222222226
68,46,0.20210348162475825
48,81,0.2001290322580645
97,30,0.1995731707317073
97,87,0.1984019607843137
74,73,0.19824464153732443
10,44,0.195979797979798
1,91,0.19444444444444445
0,102,0.19412698412698415
28,56,0.19262500000000002
46,66,0.19229711703548905
74,77,0.1921299372462163
37,33,0.1918534482758621
34,101,0.1916594516594516
65,106,0.1908888888888889
27,5,0.18863636363636366
30,47,0.18834188034188032
85,101,0.18739837398373985
34,68,0.18512352344038394
